id,name,brand,district,diesel_have,diesel_out,g95_have,g95_out,g91_have,g91_out,e20_have,e20_out,lastUpdated
1,ปตท.รัษฎา,ปตท.,เมืองตรัง,0,1,1,0,1,0,1,0,25/3/2026 10:28:32
2,พีที สาขาตรัง (บ้านควน),พีที,เมืองตรัง,1,0,0,1,0,1,0,0,25/3/2026 9:44:12
3,ปั๊มน้ำมันเชลล์ (ห้างหุ้นส่วนจำกัด กอวรรณบริการ),เชลล์,เมืองตรัง,1,0,1,0,1,0,1,0,25/3/2026 10:39:12
4,หจก.ศุภธัชปิโตรเลียม shell สถานีบริการน้ำมัน ต.หนองช้างแล่น,เชลล์,ห้วยยอด,1,0,1,0,1,0,1,0,25/3/2026 6:43:49
5,ปั๊มพีทีรัษฎา,พีที,รัษฎา,1,0,0,1,1,0,0,0,25/3/2026 9:44:12
6,ปั๊มน้ำมันบางจาก -สหกรณ์การเกษตรห้วยยอด จำกัด ต.ห้วยนาง,บางจาก,ห้วยยอด,1,0,1,0,1,0,1,0,24/3/2026 12:01:12
7,ปตท.นานอน,ปตท.,เมืองตรัง,1,0,1,0,1,0,0,1,25/3/2026 9:48:41
8,ปตท.ย่านตาขาว-ตรัง (บจก.พรชัยรุ่งเรืองกิจ),ปตท.,ย่านตาขาว,0,1,1,0,0,1,0,1,25/3/2026 8:26:45
9,ปั๊มน้ำมันบางจาก - สหกรณ์การเกษตรเมืองตรัง จำกัด,บางจาก,เมืองตรัง,0,1,1,0,1,0,1,0,25/3/2026 8:39:02
10,ซัสโก้นาท่ามเหนือ 2,บางจาก,เมืองตรัง,0,1,0,1,0,1,0,1,25/3/2026 6:09:48
11,ปั้มน้ำมันบางจาก - สหกรณ์กองทุนสวนยางหนองบัว จำกัด,บางจาก,รัษฎา,0,1,1,0,0,1,1,0,25/3/2026 11:43:50
12,ปั้มน้ำมันบางจาก ห้างหุ้นส่วนจำกัด สีนาก2014 สาขา 1,บางจาก,รัษฎา,0,1,1,0,1,0,1,0,25/03/2026 11:08
13,ปั้มน้ำมันพีที (สาขากันตัง),พีที,กันตัง,0,1,0,1,0,1,0,1,25/3/2026 9:44:12
14,ปตท.ทุ่งค่าย,ปตท.,ย่านตาขาว,0,1,1,0,0,1,0,1,25/3/2026 10:47:00
15,ปั้มน้ำมันบางจาก - สหกรณ์การเกษตรย่านตาขาว จำกัด,บางจาก,ย่านตาขาว,0,1,1,0,1,0,0,1,25/3/2026 7:00:39
16,ปั๊มน้ำมันหนองเสม็ด,อิสระ,กันตัง,1,0,1,0,1,0,0,0,25/3/2026 11:18:14
17,พีที สาขาปะเหลียน 2,พีที,ปะเหลียน,0,1,0,1,0,0,0,0,25/3/2026 9:44:12
18,ปั๊มพีที ปะเหลียน 3,พีที,ปะเหลียน,0,1,0,1,0,1,0,0,25/3/2026 9:44:12
19,ปั๊มน้ำมันทรัพย์อู่ฟู่ปิโตรเลียม นายกุลเดช นุ่นประดิษฐ์,อิสระ,วังวิเศษ,1,0,1,0,1,0,0,0,25/3/2026 11:28:11
